date,matchup,market_type,selection,model_prob,implied_prob,edge,risk,model_version,status,result,projected_total,actual_total,run_diff,uncalibrated_prob,stake_pct,stake_amount
2026-08-04,,moneyline,Baltimore Orioles gana (ML),0.7958,0.9384,-0.1426,🟢 Riesgo bajo,sin_version,win,1-3,,4,,,,
2026-08-04,,total_over,Over 4.5,0.9632,0.2254,0.7378,🟢 Riesgo bajo,sin_version,loss,1-3,,4,,,,
2026-08-04,,moneyline,Cleveland Guardians gana (ML),0.5175,0.0353,0.4822,🟢 Riesgo bajo,sin_version,loss,6-2,,8,,,,
2026-08-04,,total_under,Under 8.5,0.6811,0.4112,0.2699,🟢 Riesgo bajo,sin_version,win,6-2,,8,,,,
2026-08-04,,moneyline,Cincinnati Reds gana (ML),0.5075,0.3091,0.1984,🟢 Riesgo bajo,sin_version,win,4-5,,9,,,,
2026-08-04,,total_under,Under 8.5,0.5507,0.4287,0.122,🟢 Riesgo bajo,sin_version,loss,4-5,,9,,,,
2026-08-04,,moneyline,Philadelphia Phillies gana (ML),0.7631,,,🟢 Riesgo bajo,sin_version,win,0-5,,5,,,,
2026-08-04,,total_over,Over 5.5,0.9557,0.243,0.7127,🟢 Riesgo bajo,sin_version,loss,0-5,,5,,,,
2026-08-04,,moneyline,New York Yankees gana (ML),0.5474,0.9105,-0.3631,🟢 Riesgo bajo,sin_version,win,0-2,,2,,,,
2026-08-04,,total_over,Over 3.5,0.9468,0.4785,0.4683,🟢 Riesgo bajo,sin_version,loss,0-2,,2,,,,
2026-08-04,,moneyline,Boston Red Sox gana (ML),0.5999,0.9647,-0.3648,🟢 Riesgo bajo,sin_version,win,2-14,,16,,,,
2026-08-04,,total_under,Under 11.5,0.8844,0.5052,0.3792,🟢 Riesgo bajo,sin_version,loss,2-14,,16,,,,
2026-08-04,,moneyline,Atlanta Braves gana (ML),0.6693,0.7971,-0.1278,🟢 Riesgo bajo,sin_version,win,2-4,,6,,,,
2026-08-04,,total_over,Over 3.5,0.9736,0.4007,0.5729,🟢 Riesgo bajo,sin_version,win,2-4,,6,,,,
2026-08-04,,moneyline,Kansas City Royals gana (ML),0.5695,0.6211,-0.0516,🔴 Riesgo alto,sin_version,win,2-8,,10,,,,
2026-08-04,,total_under,Under 8.5,0.7844,0.4904,0.294,🟢 Riesgo bajo,sin_version,loss,2-8,,10,,,,
2026-08-04,,moneyline,Milwaukee Brewers gana (ML),0.6932,0.8219,-0.1287,🟢 Riesgo bajo,sin_version,win,2-4,,6,,,,
2026-08-04,,total_over,Over 7.5,0.5428,0.5029,0.0399,🔴 Riesgo alto,sin_version,loss,2-4,,6,,,,
2026-08-04,,moneyline,Los Angeles Dodgers gana (ML),0.525,0.6658,-0.1408,🟢 Riesgo bajo,sin_version,loss,1-5,,6,,,,
2026-08-04,,total_over,Over 7.5,0.6066,0.4864,0.1202,🟢 Riesgo bajo,sin_version,loss,1-5,,6,,,,
2026-08-04,,moneyline,San Francisco Giants gana (ML),0.6213,0.1691,0.4522,🟢 Riesgo bajo,sin_version,loss,4-5,,9,,,,
2026-08-04,,total_over,Over 8.5,0.5271,0.5157,0.0114,🔴 Riesgo alto,sin_version,win,4-5,,9,,,,
2026-08-04,,moneyline,Houston Astros gana (ML),0.6626,0.6181,0.0445,🔴 Riesgo alto,sin_version,win,2-7,,9,,,,
2026-08-04,,total_over,Over 6.5,0.6805,0.4864,0.1941,🟢 Riesgo bajo,sin_version,win,2-7,,9,,,,
2026-08-04,,moneyline,Colorado Rockies gana (ML),0.6857,0.433,0.2527,🟢 Riesgo bajo,sin_version,loss,9-7,,16,,,,
2026-08-04,,total_under,Under 10.5,0.6453,0.5078,0.1375,🟢 Riesgo bajo,sin_version,loss,9-7,,16,,,,
2026-08-04,,moneyline,Arizona Diamondbacks gana (ML),0.6995,0.5256,0.1739,🟢 Riesgo bajo,sin_version,loss,9-4,,13,,,,
2026-08-04,,total_under,Under 9.0,0.7004,0.5217,0.1787,🟢 Riesgo bajo,sin_version,loss,9-4,,13,,,,
2026-08-04,,moneyline,Detroit Tigers gana (ML),0.6932,0.4657,0.2275,🟢 Riesgo bajo,sin_version,win,8-0,,8,,,,
2026-08-04,,total_under,Under 7.5,0.5261,0.4783,0.0478,🔴 Riesgo alto,sin_version,loss,8-0,,8,,,,
2026-08-05,,moneyline,Houston Astros gana (ML),0.8146,0.6327,0.1819,🟢 Riesgo bajo,sin_version,loss,5-4,,9,,,,
2026-08-05,,total_over,Over 8.0,0.6419,0.5132,0.1287,🟢 Riesgo bajo,sin_version,win,5-4,,9,,,,
2026-08-05,,moneyline,Chicago Cubs gana (ML),0.5341,0.5397,-0.0056,🔴 Riesgo alto,sin_version,win,6-7,,13,,,,
2026-08-05,,total_under,Under 9.5,0.5257,0.5055,0.0202,🔴 Riesgo alto,sin_version,loss,6-7,,13,,,,
2026-08-05,,moneyline,Texas Rangers gana (ML),0.5047,0.6178,-0.1131,🟡 Riesgo medio,sin_version,win,0-6,,6,,,,
2026-08-05,,total_over,Over 8.5,0.6535,0.4783,0.1752,🟢 Riesgo bajo,sin_version,loss,0-6,,6,,,,
2026-08-05,,moneyline,Tampa Bay Rays gana (ML),0.5842,0.5996,-0.0154,🔴 Riesgo alto,sin_version,win,4-0,,4,,,,
2026-08-05,,total_under,Under 11.5,0.8201,0.5,0.3201,🟢 Riesgo bajo,sin_version,win,4-0,,4,,,,
2026-08-05,,moneyline,Baltimore Orioles gana (ML),0.704,0.5378,0.1662,🟢 Riesgo bajo,sin_version,win,2-5,,7,,,,
2026-08-05,,total_under,Under 8.0,0.5814,0.5108,0.0706,🟡 Riesgo medio,sin_version,win,2-5,,7,,,,
2026-08-05,,moneyline,New York Mets gana (ML),0.583,0.4963,0.0867,🟡 Riesgo medio,sin_version,win,6-5,,11,,,,
2026-08-05,,total_under,Under 8.0,0.7611,0.5152,0.2459,🟢 Riesgo bajo,sin_version,loss,6-5,,11,,,,
2026-08-05,,moneyline,Cincinnati Reds gana (ML),0.5224,0.5803,-0.0579,🔴 Riesgo alto,sin_version,win,2-3,,5,,,,
2026-08-05,,total_over,Over 9.5,0.5826,0.5152,0.0674,🟡 Riesgo medio,sin_version,loss,2-3,,5,,,,
2026-08-05,,moneyline,Washington Nationals gana (ML),0.5337,0.3645,0.1692,🟢 Riesgo bajo,sin_version,win,10-4,,14,,,,
2026-08-05,,total_over,Over 9.5,0.8024,0.4978,0.3046,🟢 Riesgo bajo,sin_version,win,10-4,,14,,,,
2026-08-05,,moneyline,New York Yankees gana (ML),0.6757,0.5932,0.0825,🟡 Riesgo medio,sin_version,loss,3-1,,4,,,,
2026-08-05,,total_under,Under 8.5,0.6413,0.4748,0.1665,🟢 Riesgo bajo,sin_version,win,3-1,,4,,,,
2026-08-05,,moneyline,Boston Red Sox gana (ML),0.6966,0.55,0.1466,🟢 Riesgo bajo,sin_version,win,0-4,,4,,,,
2026-08-05,,total_under,Under 8.5,0.6537,0.5055,0.1482,🟢 Riesgo bajo,sin_version,win,0-4,,4,,,,
2026-08-05,,moneyline,Atlanta Braves gana (ML),0.6522,0.5428,0.1094,🟡 Riesgo medio,sin_version,win,1-4,,5,,,,
2026-08-05,,total_under,Under 8.5,0.626,0.4748,0.1512,🟢 Riesgo bajo,sin_version,win,1-4,,5,,,,
2026-08-05,,moneyline,Kansas City Royals gana (ML),0.7197,0.528,0.1917,🟢 Riesgo bajo,sin_version,win,1-2,,3,,,,
2026-08-05,,total_over,Over 9.0,0.5754,0.4848,0.0906,🟡 Riesgo medio,sin_version,loss,1-2,,3,,,,
2026-08-05,,moneyline,Milwaukee Brewers gana (ML),0.5546,0.5491,0.0055,🔴 Riesgo alto,sin_version,win,2-4,,6,,,,
2026-08-05,,total_over,Over 7.0,0.5841,0.5304,0.0537,🔴 Riesgo alto,sin_version,loss,2-4,,6,,,,
2026-08-05,,moneyline,San Diego Padres gana (ML),0.6964,0.5367,0.1597,🟢 Riesgo bajo,sin_version,loss,4-10,,14,,,,
2026-08-05,,total_under,Under 9.0,0.5821,0.4892,0.0929,🟡 Riesgo medio,sin_version,loss,4-10,,14,,,,
